student_id,gender,ethnicity,parent_education,lunch,test_preparation,math_score,reading_score,writing_score,sports_participation,absences,extra_classes,psychological_score,tech_access,internet_quality,daily_study_hours,social_activity_level,motivation_level
S0001,Male,Group C,High school,Standard,Completed,59,47,87,No,3,Yes,4,No,Average,5.8,High,9
S0002,Female,Group B,High school,Free/Reduced,Completed,49,82,76,Yes,7,Yes,5,No,Average,5,High,8
S0003,Female,Group D,High school,Free/Reduced,None,56,51,46,No,11,No,3,Yes,Average,3.1,Low,6
S0004,Male,Group E,Some college,Standard,None,92,97,68,No,12,Yes,4,No,Poor,2,High,9
S0005,Female,Group A,High school,Standard,None,60,64,88,No,24,Yes,4,No,Poor,5.5,Low,7
S0006,Female,Group E,High school,Standard,Completed,48,38,36,Yes,8,Yes,7,No,Good,2,Low,2
S0007,Female,Group B,Bachelor's degree,Standard,None,91,60,92,No,8,Yes,7,No,Average,3.4,Low,1
S0008,Female,Group D,Master's degree,Free/Reduced,None,36,72,86,Yes,1,Yes,1,No,Good,1.8,Low,3
S0009,Male,Group A,Master's degree,Standard,None,66,46,63,No,2,No,3,No,Average,5.8,Medium,4
S0010,Female,Group D,High school,Standard,Completed,37,80,82,Yes,20,Yes,9,No,Average,0.7,Medium,9
S0011,Male,Group A,High school,Standard,None,86,95,95,Yes,11,No,6,No,Good,1.5,Low,5
S0012,Male,Group A,High school,Standard,Completed,57,53,77,No,16,No,6,No,Good,4.7,High,2
S0013,Male,Group A,Bachelor's degree,Standard,None,46,44,89,Yes,3,No,4,No,Good,1.3,Low,10
S0014,Male,Group B,Bachelor's degree,Standard,None,40,57,72,No,26,Yes,10,Yes,Good,5.9,Low,5
S0015,Female,Group D,Bachelor's degree,Free/Reduced,None,44,32,33,No,29,No,9,Yes,Poor,2.3,High,2
S0016,Female,Group C,Master's degree,Standard,Completed,59,58,81,No,13,Yes,3,Yes,Average,5.6,Low,9
S0017,Female,Group C,Some college,Free/Reduced,Completed,35,81,61,No,20,No,8,Yes,Average,4.1,Medium,6
S0018,Male,Group C,Master's degree,Standard,None,41,83,80,Yes,8,Yes,6,No,Poor,4,Low,5
S0019,Male,Group D,Bachelor's degree,Free/Reduced,None,90,87,39,Yes,7,Yes,2,Yes,Average,5.5,Medium,2
S0020,Male,Group E,Associate degree,Free/Reduced,Completed,65,74,41,Yes,0,Yes,3,Yes,Poor,3.3,High,7
S0021,Female,Group D,Some college,Free/Reduced,Completed,64,79,68,Yes,29,Yes,1,Yes,Average,2.7,High,7
S0022,Female,Group A,High school,Standard,None,96,51,97,Yes,12,Yes,3,Yes,Poor,1.7,High,2
S0023,Female,Group E,Master's degree,Free/Reduced,None,92,81,39,No,27,No,4,Yes,Poor,1.3,Medium,10
S0024,Male,Group A,Some college,Standard,Completed,69,82,39,No,2,Yes,6,No,Average,4.9,Low,6
S0025,Male,Group A,Associate degree,Free/Reduced,None,60,60,52,Yes,29,No,10,Yes,Average,1.2,High,10
S0026,Female,Group D,Some college,Standard,Completed,66,77,42,Yes,13,Yes,7,No,Average,2.7,High,10
S0027,Male,Group C,Master's degree,Standard,None,34,60,77,No,18,Yes,3,No,Good,2.8,High,3
S0028,Male,Group E,Bachelor's degree,Free/Reduced,None,33,33,73,Yes,26,Yes,7,No,Average,4.2,Low,8
S0029,Female,Group B,High school,Standard,None,55,64,93,Yes,5,Yes,4,No,Average,2,Low,5
S0030,Male,Group C,Bachelor's degree,Free/Reduced,None,53,96,69,Yes,3,Yes,1,Yes,Average,5.1,Medium,8
